Name,HOMFLY
10_14,(v^2+ v^4-v^6)+ (3*v^2-v^4-2*v^6+ 2*v^8)*z^2+ (v^2-3*v^4-3*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_15,(-2*v^(-4)+ 3*v^(-2)+ 1-v^2)+ (-3*v^(-4)+ 5*v^(-2)+ 4-3*v^2)*z^2+ (-v^(-4)+ 4*v^(-2)+ 4-v^2)*z^4+ (v^(-2)+ 1)*z^6
10_16,(v^(-2)+ 1-2*v^2+ v^6)+ (v^(-2)-1-4*v^2-v^4+ v^6)*z^2+ (-1-2*v^2-v^4)*z^4
10_17,(-2*v^(-2)+ 5-2*v^2)+ (-7*v^(-2)+ 16-7*v^2)*z^2+ (-5*v^(-2)+ 17-5*v^2)*z^4+ (-v^(-2)+ 7-v^2)*z^6+ z^8
10_18,(v^(-2)-v^2+ v^4)+ (v^(-2)-1-3*v^2+ v^6)*z^2+ (-1-2*v^2-v^4)*z^4
10_19,(-v^(-2)+ 3-v^2)+ (-3*v^(-2)+ 5+ v^2-2*v^4)*z^2+ (-v^(-2)+ 4+ 3*v^2-v^4)*z^4+ (1+ v^2)*z^6
10_20,(2-v^2-v^6+ v^8)+ (1-2*v^2-v^4-2*v^6+ v^8)*z^2+ (-v^2-v^4-v^6)*z^4
10_21,(v^2+ 2*v^4-3*v^6+ v^8)+ (3*v^2-5*v^6+ 3*v^8)*z^2+ (v^2-3*v^4-4*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_22,(2*v^(-2)-1-2*v^2+ 2*v^4)+ (3*v^(-2)-5-5*v^2+ 3*v^4)*z^2+ (v^(-2)-4-4*v^2+ v^4)*z^4+ (-1-v^2)*z^6
10_23,(-2*v^(-6)+ 3*v^(-4))+ (-3*v^(-6)+ 6*v^(-4)+ 2*v^(-2)-2)*z^2+ (-v^(-6)+ 4*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_24,(1+ v^2-v^4-v^6+ v^8)+ (1-3*v^4-v^6+ v^8)*z^2+ (-v^2-2*v^4-v^6)*z^4
10_25,(2*v^2-2*v^6+ v^8)+ (3*v^2-2*v^4-3*v^6+ 2*v^8)*z^2+ (v^2-3*v^4-3*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_26,(v^(-2)+ 1-3*v^2+ 2*v^4)+ (2*v^(-2)-2-6*v^2+ 3*v^4)*z^2+ (v^(-2)-3-4*v^2+ v^4)*z^4+ (-1-v^2)*z^6
10_27,(-v^(-6)+ v^(-4)+ v^(-2))+ (-2*v^(-6)+ 3*v^(-4)+ 3*v^(-2)-2)*z^2+ (-v^(-6)+ 3*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_28,(-v^(-6)+ 3*v^(-2)-1)+ (-v^(-6)+ v^(-4)+ 4*v^(-2)-v^2)*z^2+ (v^(-4)+ 2*v^(-2)+ 1)*z^4
10_29,(2*v^(-2)-2+ v^2-v^4+ v^6)+ (v^(-2)-5+ 3*v^2-4*v^4+ v^6)*z^2+ (-2+ 3*v^2-2*v^4)*z^4+ v^2*z^6
10_30,(2*v^2-v^4)+ (1+ v^2-2*v^4+ v^8)*z^2+ (-v^2-2*v^4-v^6)*z^4
10_31,(-v^(-4)+ v^(-2)+ 2-v^2)+ (-v^(-4)+ v^(-2)+ 3-v^4)*z^2+ (v^(-2)+ 2+ v^2)*z^4
10_32,(v^(-2)-1+ v^2)+ (2*v^(-2)-3-2*v^2+ 2*v^4)*z^2+ (v^(-2)-3-3*v^2+ v^4)*z^4+ (-1-v^2)*z^6
10_33,1+ (-v^(-4)+ 2-v^4)*z^2+ (v^(-2)+ 2+ v^2)*z^4
10_34,(-v^(-6)+ v^(-4)+ 2-v^2)+ (-v^(-6)+ 2*v^(-4)+ v^(-2)+ 2-v^2)*z^2+ (v^(-4)+ v^(-2)+ 1)*z^4
10_35,(v^(-6)-v^(-4)+ 1-v^2+ v^4)+ (-2*v^(-4)-2*v^2)*z^2+ (v^(-2)+ 1)*z^4
10_36,(1-v^2+ 2*v^4-v^6)+ (1-v^2+ v^4-v^6+ v^8)*z^2+ (-v^2-v^4-v^6)*z^4
10_37,(-v^(-4)+ v^(-2)+ 1+ v^2-v^4)+ (-v^(-4)+ v^(-2)+ 3+ v^2-v^4)*z^2+ (v^(-2)+ 2+ v^2)*z^4
10_38,(1+ v^2-2*v^4+ v^6)+ (1-3*v^4+ v^8)*z^2+ (-v^2-2*v^4-v^6)*z^4
