0_1 | 1
9_27, 13n_1752, 13n_2290 | -1*z^6 + 2*v^2*z^4 + -4*z^4 + v^-2*z^4 + -1*v^4*z^2 + 5*v^2*z^2 + -6*z^2 + 2*v^-2*z^2 + -1*v^4 + 3*v^2 + -2 + v^-2
9_28, 13n_1698 | v^2*z^6 + -2*v^4*z^4 + 4*v^2*z^4 + -1*z^4 + v^6*z^2 + -5*v^4*z^2 + 7*v^2*z^2 + -2*z^2 + v^6 + -4*v^4 + 5*v^2 + -1
9_29 | v^-2*z^6 + -2*z^4 + 4*v^-2*z^4 + -1*v^-4*z^4 + v^2*z^2 + -5*z^2 + 7*v^-2*z^2 + -2*v^-4*z^2 + v^2 + -3 + 5*v^-2 + -2*v^-4
9_30 | -1*z^6 + v^2*z^4 + -4*z^4 + 2*v^-2*z^4 + 2*v^2*z^2 + -7*z^2 + 5*v^-2*z^2 + -1*v^-4*z^2 + 2*v^2 + -4 + 4*v^-2 + -1*v^-4
9_31, 13n_1855 | v^2*z^6 + -2*v^4*z^4 + 4*v^2*z^4 + -1*z^4 + v^6*z^2 + -4*v^4*z^2 + 7*v^2*z^2 + -2*z^2 + -2*v^4 + 4*v^2 + -1
9_32 | v^-2*z^6 + -1*z^4 + 3*v^-2*z^4 + -2*v^-4*z^4 + -1*z^2 + 3*v^-2*z^2 + -4*v^-4*z^2 + v^-6*z^2 + 1 + v^-2 + -2*v^-4 + v^-6
9_33, 13n_1844 | -1*z^6 + v^2*z^4 + -3*z^4 + 2*v^-2*z^4 + v^2*z^2 + -3*z^2 + 4*v^-2*z^2 + -1*v^-4*z^2 + 2*v^-2 + -1*v^-4
9_34 | -1*z^6 + v^2*z^4 + -3*z^4 + 2*v^-2*z^4 + v^2*z^2 + -4*z^2 + 3*v^-2*z^2 + -1*v^-4*z^2 + v^2 + -1 + v^-2
9_35 | v^8*z^2 + 3*v^6*z^2 + 2*v^4*z^2 + v^2*z^2 + -1*v^10 + -1*v^8 + 3*v^6
9_36, 13n_1488 | -1*v^-4*z^6 + v^-2*z^4 + -4*v^-4*z^4 + 2*v^-6*z^4 + 3*v^-2*z^2 + -5*v^-4*z^2 + 6*v^-6*z^2 + -1*v^-8*z^2 + 2*v^-2 + -3*v^-4 + 4*v^-6 + -2*v^-8
9_37 | v^2*z^4 + z^4 + -1*v^4*z^2 + v^2*z^2 + -1*z^2 + -2*v^-2*z^2 + 2*v^2 + -2 + v^-4
9_38 | v^8*z^4 + 3*v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + -1*v^8*z^2 + 7*v^6*z^2 + v^4*z^2 + -3*v^8 + 4*v^6
9_39 | -1*v^-2*z^4 + -2*v^-4*z^4 + z^2 + v^-2*z^2 + -3*v^-4*z^2 + 3*v^-6*z^2 + 2*v^-2 + -2*v^-4 + 2*v^-6 + -1*v^-8
9_40 | v^2*z^6 + -2*v^4*z^4 + 2*v^2*z^4 + -1*z^4 + v^6*z^2 + -2*v^4*z^2 + v^4 + -2*v^2 + 2
9_41 | z^4 + 2*v^-2*z^4 + -1*v^2*z^2 + 4*v^-2*z^2 + -3*v^-4*z^2 + 3*v^-2 + -3*v^-4 + v^-6
9_42 | -1*z^4 + v^2*z^2 + -4*z^2 + v^-2*z^2 + 2*v^2 + -3 + 2*v^-2
9_43 | -1*v^4*z^6 + v^6*z^4 + -5*v^4*z^4 + v^2*z^4 + 4*v^6*z^2 + -7*v^4*z^2 + 4*v^2*z^2 + -1*v^8 + 3*v^6 + -4*v^4 + 3*v^2
9_44 | v^2*z^4 + -1*v^4*z^2 + 3*v^2*z^2 + -2*z^2 + -1*v^4 + 3*v^2 + -2 + v^-2
9_45 | -1*v^-4*z^4 + 2*v^-2*z^2 + -2*v^-4*z^2 + 2*v^-6*z^2 + 2*v^-2 + -2*v^-4 + 2*v^-6 + -1*v^-8
9_46 | -1*v^-2*z^2 + -1*v^-4*z^2 + 2 + -1*v^-2 + -1*v^-4 + v^-6
9_47 | v^2*z^6 + -1*v^4*z^4 + 4*v^2*z^4 + -1*z^4 + -3*v^4*z^2 + 4*v^2*z^2 + -2*z^2 + v^6 + -2*v^4 + v^2 + 1
9_48 | -1*v^-2*z^4 + z^2 + -1*v^-2*z^2 + 3*v^-4*z^2 + 3*v^-4 + -2*v^-6
9_49 | 2*v^6*z^4 + v^4*z^4 + -2*v^8*z^2 + 6*v^6*z^2 + 2*v^4*z^2 + -3*v^8 + 4*v^6
10_1 | -1*v^6*z^2 + -1*v^4*z^2 + -1*v^2*z^2 + -1*z^2 + v^8 + -1*v^6 + v^-2
10_2 | -1*v^6*z^8 + v^8*z^6 + -7*v^6*z^6 + v^4*z^6 + 5*v^8*z^4 + -16*v^6*z^4 + 6*v^4*z^4 + 6*v^8*z^2 + -14*v^6*z^2 + 10*v^4*z^2 + v^8 + -4*v^6 + 4*v^4
10_3 | -1*v^4*z^2 + -2*v^2*z^2 + -2*z^2 + -1*v^-2*z^2 + v^6 + -1*v^2 + v^-4
10_4 | -1*v^2*z^4 + -1*z^4 + -1*v^-2*z^4 + v^4*z^2 + -3*v^2*z^2 + -2*z^2 + -2*v^-2*z^2 + v^-4*z^2 + 2*v^4 + -2*v^2 + v^-4
10_5 | v^-4*z^8 + -1*v^-2*z^6 + 7*v^-4*z^6 + -1*v^-6*z^6 + -5*v^-2*z^4 + 17*v^-4*z^4 + -5*v^-6*z^4 + -6*v^-2*z^2 + 17*v^-4*z^2 + -7*v^-6*z^2 + -1*v^-2 + 5*v^-4 + -3*v^-6
10_6 | -1*v^6*z^6 + -1*v^4*z^6 + v^8*z^4 + -4*v^6*z^4 + -4*v^4*z^4 + v^2*z^4 + 3*v^8*z^2 + -4*v^6*z^2 + -4*v^4*z^2 + 4*v^2*z^2 + v^8 + -1*v^6 + -2*v^4 + 3*v^2
10_7 | -1*v^6*z^4 + -1*v^4*z^4 + -1*v^2*z^4 + v^8*z^2 + -2*v^6*z^2 + -1*v^2*z^2 + z^2 + v^8 + -2*v^6 + v^4 + 1
10_8 | -1*v^4*z^6 + -1*v^2*z^6 + v^6*z^4 + -4*v^4*z^4 + -5*v^2*z^4 + z^4 + 3*v^6*z^2 + -3*v^4*z^2 + -7*v^2*z^2 + 4*z^2 + v^6 + -3*v^2 + 3
10_9 | -1*v^2*z^8 + v^4*z^6 + -7*v^2*z^6 + z^6 + 5*v^4*z^4 + -17*v^2*z^4 + 5*z^4 + 7*v^4*z^2 + -16*v^2*z^2 + 7*z^2 + 2*v^4 + -4*v^2 + 3
10_10 | z^4 + v^-2*z^4 + v^-4*z^4 + -1*v^2*z^2 + z^2 + 2*v^-4*z^2 + -1*v^-6*z^2 + 1 + -1*v^-2 + 2*v^-4 + -1*v^-6
10_11 | -1*v^4*z^4 + -2*v^2*z^4 + -1*z^4 + v^6*z^2 + -1*v^4*z^2 + -4*v^2*z^2 + -2*z^2 + v^-2*z^2 + v^6 + -1*v^2 + -1 + 2*v^-2
10_12 | v^-2*z^6 + v^-4*z^6 + -1*z^4 + 4*v^-2*z^4 + 4*v^-4*z^4 + -1*v^-6*z^4 + -3*z^2 + 5*v^-2*z^2 + 5*v^-4*z^2 + -3*v^-6*z^2 + -1 + 2*v^-2 + 2*v^-4 + -2*v^-6
10_13 | v^2*z^4 + z^4 + -2*v^4*z^2 + -1*z^2 + -2*v^-2*z^2 + v^6 + -1*v^4 + v^2 + -1 + v^-4
10_14 | -1*v^6*z^6 + -1*v^4*z^6 + v^8*z^4 + -3*v^6*z^4 + -3*v^4*z^4 + v^2*z^4 + 2*v^8*z^2 + -2*v^6*z^2 + -1*v^4*z^2 + 3*v^2*z^2 + -1*v^6 + v^4 + v^2
10_15, 13n_780, 13n_3320 | z^6 + v^-2*z^6 + -1*v^2*z^4 + 4*z^4 + 4*v^-2*z^4 + -1*v^-4*z^4 + -3*v^2*z^2 + 4*z^2 + 5*v^-2*z^2 + -3*v^-4*z^2 + -1*v^2 + 1 + 3*v^-2 + -2*v^-4
10_16, 13n_2559 | -1*v^4*z^4 + -2*v^2*z^4 + -1*z^4 + v^6*z^2 + -1*v^4*z^2 + -4*v^2*z^2 + -1*z^2 + v^-2*z^2 + v^6 + -2*v^2 + 1 + v^-2
10_17 | z^8 + -1*v^2*z^6 + 7*z^6 + -1*v^-2*z^6 + -5*v^2*z^4 + 17*z^4 + -5*v^-2*z^4 + -7*v^2*z^2 + 16*z^2 + -7*v^-2*z^2 + -2*v^2 + 5 + -2*v^-2
10_18, 12n_561, 13n_2625 | -1*v^4*z^4 + -2*v^2*z^4 + -1*z^4 + v^6*z^2 + -3*v^2*z^2 + -1*z^2 + v^-2*z^2 + v^4 + -1*v^2 + v^-2
10_19, 13n_2222 | v^2*z^6 + z^6 + -1*v^4*z^4 + 3*v^2*z^4 + 4*z^4 + -1*v^-2*z^4 + -2*v^4*z^2 + v^2*z^2 + 5*z^2 + -3*v^-2*z^2 + -1*v^2 + 3 + -1*v^-2
10_20 | -1*v^6*z^4 + -1*v^4*z^4 + -1*v^2*z^4 + v^8*z^2 + -2*v^6*z^2 + -1*v^4*z^2 + -2*v^2*z^2 + z^2 + v^8 + -1*v^6 + -1*v^2 + 2
10_21 | -1*v^6*z^6 + -1*v^4*z^6 + v^8*z^4 + -4*v^6*z^4 + -3*v^4*z^4 + v^2*z^4 + 3*v^8*z^2 + -5*v^6*z^2 + 3*v^2*z^2 + v^8 + -3*v^6 + 2*v^4 + v^2
10_22, 12n_817 | -1*v^2*z^6 + -1*z^6 + v^4*z^4 + -4*v^2*z^4 + -4*z^4 + v^-2*z^4 + 3*v^4*z^2 + -5*v^2*z^2 + -5*z^2 + 3*v^-2*z^2 + 2*v^4 + -2*v^2 + -1 + 2*v^-2
10_23, 12n_607 | v^-2*z^6 + v^-4*z^6 + -1*z^4 + 3*v^-2*z^4 + 4*v^-4*z^4 + -1*v^-6*z^4 + -2*z^2 + 2*v^-2*z^2 + 6*v^-4*z^2 + -3*v^-6*z^2 + 3*v^-4 + -2*v^-6
10_24 | -1*v^6*z^4 + -2*v^4*z^4 + -1*v^2*z^4 + v^8*z^2 + -1*v^6*z^2 + -3*v^4*z^2 + z^2 + v^8 + -1*v^6 + -1*v^4 + v^2 + 1
10_25, 10_56 | -1*v^6*z^6 + -1*v^4*z^6 + v^8*z^4 + -3*v^6*z^4 + -3*v^4*z^4 + v^2*z^4 + 2*v^8*z^2 + -3*v^6*z^2 + -2*v^4*z^2 + 3*v^2*z^2 + v^8 + -2*v^6 + 2*v^2
